Ticket_ID,Ticket_Text
1,I need help with updating my healthcare benefits.
2,Requesting a new laptop for onboarding.
3,Vacation policy clarification.
4,Error in my payroll statement.
5,Complaint about coworker harassment incident.
6,I need help with updating my healthcare benefits.
7,Requesting a new laptop for onboarding.
8,Vacation policy clarification.
9,Error in my payroll statement.
10,Complaint about coworker harassment incident.
11,I need help with updating my healthcare benefits.
12,Requesting a new laptop for onboarding.
13,Vacation policy clarification.
14,Error in my payroll statement.
15,Complaint about coworker harassment incident.
16,I need help with updating my healthcare benefits.
17,Requesting a new laptop for onboarding.
18,Vacation policy clarification.
19,Error in my payroll statement.
20,Complaint about coworker harassment incident.
21,I need help with updating my healthcare benefits.
22,Requesting a new laptop for onboarding.
23,Vacation policy clarification.
24,Error in my payroll statement.
25,Complaint about coworker harassment incident.
26,I need help with updating my healthcare benefits.
27,Requesting a new laptop for onboarding.
28,Vacation policy clarification.
29,Error in my payroll statement.
30,Complaint about coworker harassment incident.
31,I need help with updating my healthcare benefits.
32,Requesting a new laptop for onboarding.
33,Vacation policy clarification.
34,Error in my payroll statement.
35,Complaint about coworker harassment incident.
36,I need help with updating my healthcare benefits.
37,Requesting a new laptop for onboarding.
38,Vacation policy clarification.
39,Error in my payroll statement.
40,Complaint about coworker harassment incident.
41,I need help with updating my healthcare benefits.
42,Requesting a new laptop for onboarding.
43,Vacation policy clarification.
44,Error in my payroll statement.
45,Complaint about coworker harassment incident.
46,I need help with updating my healthcare benefits.
47,Requesting a new laptop for onboarding.
48,Vacation policy clarification.
49,Error in my payroll statement.
50,Complaint about coworker harassment incident.
51,I need help with updating my healthcare benefits.
52,Requesting a new laptop for onboarding.
53,Vacation policy clarification.
54,Error in my payroll statement.
55,Complaint about coworker harassment incident.
56,I need help with updating my healthcare benefits.
57,Requesting a new laptop for onboarding.
58,Vacation policy clarification.
59,Error in my payroll statement.
60,Complaint about coworker harassment incident.
61,I need help with updating my healthcare benefits.
62,Requesting a new laptop for onboarding.
63,Vacation policy clarification.
64,Error in my payroll statement.
65,Complaint about coworker harassment incident.
66,I need help with updating my healthcare benefits.
67,Requesting a new laptop for onboarding.
68,Vacation policy clarification.
69,Error in my payroll statement.
70,Complaint about coworker harassment incident.
71,I need help with updating my healthcare benefits.
72,Requesting a new laptop for onboarding.
73,Vacation policy clarification.
74,Error in my payroll statement.
75,Complaint about coworker harassment incident.
76,I need help with updating my healthcare benefits.
77,Requesting a new laptop for onboarding.
78,Vacation policy clarification.
79,Error in my payroll statement.
80,Complaint about coworker harassment incident.
81,I need help with updating my healthcare benefits.
82,Requesting a new laptop for onboarding.
83,Vacation policy clarification.
84,Error in my payroll statement.
85,Complaint about coworker harassment incident.
86,I need help with updating my healthcare benefits.
87,Requesting a new laptop for onboarding.
88,Vacation policy clarification.
89,Error in my payroll statement.
90,Complaint about coworker harassment incident.
91,I need help with updating my healthcare benefits.
92,Requesting a new laptop for onboarding.
93,Vacation policy clarification.
94,Error in my payroll statement.
95,Complaint about coworker harassment incident.
96,I need help with updating my healthcare benefits.
97,Requesting a new laptop for onboarding.
98,Vacation policy clarification.
99,Error in my payroll statement.
100,Complaint about coworker harassment incident.
101,I need help with updating my healthcare benefits.
102,Requesting a new laptop for onboarding.
103,Vacation policy clarification.
104,Error in my payroll statement.
105,Complaint about coworker harassment incident.
106,I need help with updating my healthcare benefits.
107,Requesting a new laptop for onboarding.
108,Vacation policy clarification.
109,Error in my payroll statement.
110,Complaint about coworker harassment incident.
111,I need help with updating my healthcare benefits.
112,Requesting a new laptop for onboarding.
113,Vacation policy clarification.
114,Error in my payroll statement.
115,Complaint about coworker harassment incident.
116,I need help with updating my healthcare benefits.
117,Requesting a new laptop for onboarding.
118,Vacation policy clarification.
119,Error in my payroll statement.
120,Complaint about coworker harassment incident.
121,I need help with updating my healthcare benefits.
122,Requesting a new laptop for onboarding.
123,Vacation policy clarification.
124,Error in my payroll statement.
125,Complaint about coworker harassment incident.
126,I need help with updating my healthcare benefits.
127,Requesting a new laptop for onboarding.
128,Vacation policy clarification.
129,Error in my payroll statement.
130,Complaint about coworker harassment incident.
131,I need help with updating my healthcare benefits.
132,Requesting a new laptop for onboarding.
133,Vacation policy clarification.
134,Error in my payroll statement.
135,Complaint about coworker harassment incident.
136,I need help with updating my healthcare benefits.
137,Requesting a new laptop for onboarding.
138,Vacation policy clarification.
139,Error in my payroll statement.
140,Complaint about coworker harassment incident.
141,I need help with updating my healthcare benefits.
142,Requesting a new laptop for onboarding.
143,Vacation policy clarification.
144,Error in my payroll statement.
145,Complaint about coworker harassment incident.
146,I need help with updating my healthcare benefits.
147,Requesting a new laptop for onboarding.
148,Vacation policy clarification.
149,Error in my payroll statement.
150,Complaint about coworker harassment incident.
151,I need help with updating my healthcare benefits.
152,Requesting a new laptop for onboarding.
153,Vacation policy clarification.
154,Error in my payroll statement.
155,Complaint about coworker harassment incident.
156,I need help with updating my healthcare benefits.
157,Requesting a new laptop for onboarding.
158,Vacation policy clarification.
159,Error in my payroll statement.
160,Complaint about coworker harassment incident.
161,I need help with updating my healthcare benefits.
162,Requesting a new laptop for onboarding.
163,Vacation policy clarification.
164,Error in my payroll statement.
165,Complaint about coworker harassment incident.
166,I need help with updating my healthcare benefits.
167,Requesting a new laptop for onboarding.
168,Vacation policy clarification.
169,Error in my payroll statement.
170,Complaint about coworker harassment incident.
171,I need help with updating my healthcare benefits.
172,Requesting a new laptop for onboarding.
173,Vacation policy clarification.
174,Error in my payroll statement.
175,Complaint about coworker harassment incident.
176,I need help with updating my healthcare benefits.
177,Requesting a new laptop for onboarding.
178,Vacation policy clarification.
179,Error in my payroll statement.
180,Complaint about coworker harassment incident.
181,I need help with updating my healthcare benefits.
182,Requesting a new laptop for onboarding.
183,Vacation policy clarification.
184,Error in my payroll statement.
185,Complaint about coworker harassment incident.
186,I need help with updating my healthcare benefits.
187,Requesting a new laptop for onboarding.
188,Vacation policy clarification.
189,Error in my payroll statement.
190,Complaint about coworker harassment incident.
191,I need help with updating my healthcare benefits.
192,Requesting a new laptop for onboarding.
193,Vacation policy clarification.
194,Error in my payroll statement.
195,Complaint about coworker harassment incident.
196,I need help with updating my healthcare benefits.
197,Requesting a new laptop for onboarding.
198,Vacation policy clarification.
199,Error in my payroll statement.
200,Complaint about coworker harassment incident.
201,I need help with updating my healthcare benefits.
202,Requesting a new laptop for onboarding.
203,Vacation policy clarification.
204,Error in my payroll statement.
205,Complaint about coworker harassment incident.
206,I need help with updating my healthcare benefits.
207,Requesting a new laptop for onboarding.
208,Vacation policy clarification.
209,Error in my payroll statement.
210,Complaint about coworker harassment incident.
211,I need help with updating my healthcare benefits.
212,Requesting a new laptop for onboarding.
213,Vacation policy clarification.
214,Error in my payroll statement.
215,Complaint about coworker harassment incident.
216,I need help with updating my healthcare benefits.
217,Requesting a new laptop for onboarding.
218,Vacation policy clarification.
219,Error in my payroll statement.
220,Complaint about coworker harassment incident.
221,I need help with updating my healthcare benefits.
222,Requesting a new laptop for onboarding.
223,Vacation policy clarification.
224,Error in my payroll statement.
225,Complaint about coworker harassment incident.
226,I need help with updating my healthcare benefits.
227,Requesting a new laptop for onboarding.
228,Vacation policy clarification.
229,Error in my payroll statement.
230,Complaint about coworker harassment incident.
231,I need help with updating my healthcare benefits.
232,Requesting a new laptop for onboarding.
233,Vacation policy clarification.
234,Error in my payroll statement.
235,Complaint about coworker harassment incident.
236,I need help with updating my healthcare benefits.
237,Requesting a new laptop for onboarding.
238,Vacation policy clarification.
239,Error in my payroll statement.
240,Complaint about coworker harassment incident.
241,I need help with updating my healthcare benefits.
242,Requesting a new laptop for onboarding.
243,Vacation policy clarification.
244,Error in my payroll statement.
245,Complaint about coworker harassment incident.
246,I need help with updating my healthcare benefits.
247,Requesting a new laptop for onboarding.
248,Vacation policy clarification.
249,Error in my payroll statement.
250,Complaint about coworker harassment incident.
251,I need help with updating my healthcare benefits.
252,Requesting a new laptop for onboarding.
253,Vacation policy clarification.
254,Error in my payroll statement.
255,Complaint about coworker harassment incident.
256,I need help with updating my healthcare benefits.
257,Requesting a new laptop for onboarding.
258,Vacation policy clarification.
259,Error in my payroll statement.
260,Complaint about coworker harassment incident.
261,I need help with updating my healthcare benefits.
262,Requesting a new laptop for onboarding.
263,Vacation policy clarification.
264,Error in my payroll statement.
265,Complaint about coworker harassment incident.
266,I need help with updating my healthcare benefits.
267,Requesting a new laptop for onboarding.
268,Vacation policy clarification.
269,Error in my payroll statement.
270,Complaint about coworker harassment incident.
271,I need help with updating my healthcare benefits.
272,Requesting a new laptop for onboarding.
273,Vacation policy clarification.
274,Error in my payroll statement.
275,Complaint about coworker harassment incident.
276,I need help with updating my healthcare benefits.
277,Requesting a new laptop for onboarding.
278,Vacation policy clarification.
279,Error in my payroll statement.
280,Complaint about coworker harassment incident.
281,I need help with updating my healthcare benefits.
282,Requesting a new laptop for onboarding.
283,Vacation policy clarification.
284,Error in my payroll statement.
285,Complaint about coworker harassment incident.
286,I need help with updating my healthcare benefits.
287,Requesting a new laptop for onboarding.
288,Vacation policy clarification.
289,Error in my payroll statement.
290,Complaint about coworker harassment incident.
